iteration	vector	severity	owasp	stride	confidence	location	description
0	baseline	-	-	-	-	-	baseline — no prior audit; bash scripts + Python hooks + setup.md
1	grep-option-injection	Medium	A03	EoP	Likely	hooks/md-recall-memory.sh:31	QUERY passed to xargs grep without -- separator; -r --include= injection works on GNU grep (Linux)
2	prune-config-stat-fallback	Low	A05	EoP	Possible	scripts/prune-tick.sh:40-43	stat failure fallback to "600" may incorrectly allow source; TOCTOU window between stat and source (same-uid attacker only)
3	bash-guard-missing-patterns	High	A01	EoP	Confirmed	hooks/bash-guard.py:17-39	rm -rf / shred / dd if=/dev/zero / truncate / chmod -R 777 / git push --mirror not blocked — AI could execute file-deletion commands unimpeded
4	bootstrap-auto-env	Info	A04	-	Confirmed	scripts/bootstrap.sh:225-226	bootstrap silently copies .env.example → .env (only when .env absent); .env.example has no real secrets; .env is gitignored — LOW actual risk
5	memory-git-exposure	Low	A09	Info-Disclosure	Possible	.hxsk/memories/ (shared tier)	execution-summary/architecture-decision/pattern-discovery committed to git; no age-based expiry (count-only); old context stays indefinitely if count < cap
6	crypto-md5-fingerprint	Info	A02	-	Confirmed	hooks/stop-context-save.sh:100-102	MD5 used for session deduplication fingerprint (non-security use — dedup only, not integrity/auth); SHA256 used elsewhere correctly
7	forge-detect-supply-chain	Low	A08	Tampering	Possible	scripts/forge-detect.sh:15-24	detect_forge() trusts git remote origin string — a malicious remote URL could poison platform detection; gh/glab/tea CLIs assumed trusted in PATH
8	file-protect-secrets-bypass	Medium	A01	EoP	Confirmed	hooks/file-protect.py:13	"secrets/" pattern requires trailing slash — secrets.json / app-secrets.yaml / private.secrets all ALLOWED; .gitconfig also ALLOWED (no .git/ match)
9	xargs-no-null-delimiter	Low	A04	DoS	Confirmed	hooks/md-recall-memory.sh:28-32	find+xargs without -0/-print0 silently drops memory files with spaces in names; mitigated by slug sanitization in md-store-memory.sh but fragile
10	claude-project-dir-hijack	Low	A07	Spoofing	Possible	all hooks using CLAUDE_PROJECT_DIR	attacker-controlled dir with .hxsk/.prune-config could lead to arbitrary code via source; env var set by Claude Code (trusted), not user-controlled in normal flow
11	setup-no-checksum-verify	Medium	A08	Tampering	Likely	prompts/setup.md:300-310	curl | tar pipeline installs HXSK without mandatory SHA256 verification; checksum check is commented out and labeled optional — MITM or compromised GitHub release undetected
12	yaml-safe-backslash	Low	A03	Tampering	Possible	hooks/md-store-memory.sh:9	yaml_safe() escapes " and strips newlines but NOT backslashes — \n \t \\ in title/contextual_desc produce YAML escape sequences; sed-based recall is unaffected but future YAML parser use could misinterpret
13	a06-no-package-deps	Info	A06	-	Confirmed	project root	pure bash+python3 stdlib project — no npm/pip/cargo dependencies; only external binary deps: git, gh/glab/tea, qlty (optional) — no CVE exposure from package lockfiles
14	a10-ssrf-not-applicable	Info	A10	-	Confirmed	N/A	No server component; curl usage in setup.md targets hardcoded GitHub URL with user-set TARGET_VERSION (double-quoted, no word split); A10 SSRF attack surface absent
15	memory-injection-spoofing	Medium	A07	Spoofing	Possible	.hxsk/memories/**/*.md	Memory files lack HMAC/MAC; attacker with .hxsk/memories/ write access can inject false context recalled by AI via md-recall-memory.sh — indirect prompt injection vector
